"ru",1,"Укажите общественно-политический строй, господствовавший у древних славян до призвания варягов:"
"ru",2,"Наиболее крупными центрами расселения восточнославянских племенных союзов являлись:"
"ru",3,"Как характеризуется уклад жизни древних славян в VI-X веках?"
"ru",4,"Прародителем славянских народов, согласно библейским приданиям, является:"
"ru",5,"По легенде, дедом Рюрика был:"
"en",6,"Indicate the socio-political system that prevailed among the ancient Slavs before the calling of the Varangians"
"en",7,"The largest centers of settlement of the Eastern Slavic tribal unions were"
"en",8,"How is the lifestyle of the ancient Slavs characterized in the 6th-10th centuries?"
"en",9,"The progenitor of the Slavic peoples, according to biblical tributes, is:"
"en",10,"According to legend, Rurik's grandfather was"
